City,Fuel Type,Body Type,km,price,ownerNo,Manufacturer,model,modelYear,Insurance Validity,Engine Displacement,Transmission,Mileage,Seats,Color,No of Cylinder,Drive Type,Seating Capacity,Steering Type,No Door Numbers
Bangalore,Diesel,Sedan,48960,751000,2,Skoda,Skoda Rapid,1970-01-01 00:00:00.000002017,Third Party insurance,1498.0,Manual,21.13,5,Silver,4,FWD,5,Power,4
Bangalore,Diesel,Hatchback,70000,388000,2,Hyundai,Hyundai Grand i10,1970-01-01 00:00:00.000002014,Third Party insurance,1120.0,Manual,24.0,5,Dark Black,3,FWD,5,Power,5
Bangalore,Petrol,Hatchback,68000,490000,2,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002013,Comprehensive,1197.0,Manual,18.5,5,Silver,4,FWD,5,Power,5
Bangalore,Diesel,SUV,23017,494000,1,Mahindra,Mahindra KUV 100,1970-01-01 00:00:00.000002016,Third Party,1198.0,Manual,25.32,6,Orange,3,FWD,6,Power,5
Bangalore,Diesel,Hatchback,83000,525000,2,Hyundai,Hyundai i20,1970-01-01 00:00:00.000002013,Comprehensive,1396.0,Manual,21.27,5,Brown,4,FWD,5,Power,5
Bangalore,Diesel,SUV,92000,2890000,2,BMW,BMW X3,1970-01-01 00:00:00.000002016,Comprehensive,1995.0,Automatic,16.55,5,White,4,4WD,5,Electric,5
Bangalore,Petrol,Hatchback,62139,550000,1,Maruti,Maruti Wagon R,1970-01-01 00:00:00.000002018,Comprehensive,998.0,Manual,20.51,5,Red,3,FWD,5,Power,5
Bangalore,Lpg,Hatchback,74000,365000,1,Hyundai,Hyundai i10,1970-01-01 00:00:00.000002013,Comprehensive,1086.0,Manual,19.2,5,Grey,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,26500,420000,2,Renault,Renault KWID,1970-01-01 00:00:00.000002016,Comprehensive,999.0,Automatic,24.04,5,Red,3,FWD,5,Power,5
Bangalore,Diesel,Sedan,81716,1895000,1,Volvo,Volvo S60,1970-01-01 00:00:00.000002017,Comprehensive,1969.0,Automatic,27.03,5,Silver,4,FWD,5,Power,4
Bangalore,Diesel,Sedan,24000,5990000,2,Mercedes-Benz,Mercedes-Benz E-Class,1970-01-01 00:00:00.000002018,Comprehensive,2987.0,Automatic,17.0,5,White,6,RWD,5,Electric,4
Bangalore,Petrol,SUV,10000,1050000,1,Mahindra,Mahindra XUV300,1970-01-01 00:00:00.000002022,Third Party insurance,1197.0,Automatic,17.0,5,White,3,FWD,5,Power,5
Bangalore,Petrol,SUV,18000,2075000,1,MG,MG Hector Plus,1970-01-01 00:00:00.000002021,Comprehensive,1451.0,Automatic,16.56,6,Black,4,FWD,6,Power,5
Bangalore,Petrol,Hatchback,38197,394000,1,Honda,Honda Brio,1970-01-01 00:00:00.000002013,Third Party,1198.0,Manual,19.4,5,Dark Black,4,FWD,5,Power,5
Bangalore,Petrol,Hatchback,23000,725000,2,Maruti,Maruti Baleno,1970-01-01 00:00:00.000002017,Comprehensive,1197.0,Automatic,19.56,5,Grey,4,FWD,5,Electric,5
Bangalore,Petrol,Hatchback,50000,240000,1,Maruti,Maruti Alto K10,1970-01-01 00:00:00.000002013,Third Party insurance,998.0,Manual,20.92,5,Red,3,FWD,5,Power,5
Bangalore,Petrol,SUV,10000,835000,1,Renault,Renault Kiger,1970-01-01 00:00:00.000002022,Third Party insurance,999.0,Automatic,19.03,5,Dark Black,3,FWD,5,Electric,5
Bangalore,Petrol,Hatchback,19000,695000,1,Hyundai,Hyundai Grand i10,1970-01-01 00:00:00.000002019,Third Party insurance,1197.0,Manual,18.9,5,Blue,4,FWD,5,Power,5
